iso_code,total_cases,persent
USA,30462210.0,7.367302066171039
BRA,12748747.0,3.083291399875184
IND,12221665.0,2.9558163313348005
FRA,4705068.0,1.1379232563190667
RUS,4494234.0,1.0869329386822602
GBR,4359982.0,1.054464019421721
ITA,3584899.0,0.8670097740680828
TUR,3317182.0,0.802262271925293
ESP,3284353.0,0.7943225604096043
DEU,2843644.0,0.6877368489237937
COL,2406377.0,0.581983587011135
ARG,2348821.0,0.5680636370889022
POL,2321717.0,0.561508519938784
MEX,2238887.0,0.5414760393623274
IRN,1885564.0,0.4560246795323691
