date,location,new_cases
2021-03-28,Germany,1727.0
2021-03-28,Argentina,7208.0
2021-03-25,Argentina,8238.0
2021-03-24,Argentina,8300.0
2021-03-29,Ukraine,8468.0
2021-03-29,France,9110.0
2021-03-30,Argentina,10154.0
2021-03-29,Germany,10297.0
2021-03-27,Argentina,10338.0
2021-03-30,Ukraine,10648.0
2021-03-31,Ukraine,11345.0
2021-03-28,Ukraine,12041.0
2021-03-29,Italy,12900.0
2021-03-26,Argentina,12936.0
2021-03-29,Argentina,14014.0
2021-03-24,Ukraine,14266.0
2021-03-30,Italy,16055.0
2021-03-31,Argentina,16056.0
2021-03-25,Ukraine,16762.0
2021-03-29,Poland,16973.0
2021-03-27,Ukraine,17526.0
2021-03-27,Germany,17628.0
2021-03-26,Ukraine,18226.0
2021-03-28,Italy,19604.0
2021-03-26,Germany,20689.0
2021-03-30,Poland,20862.0
2021-03-24,Italy,21246.0
2021-03-25,Germany,21620.0
2021-03-30,Germany,23681.0
2021-03-25,Italy,23681.0
2021-03-24,Germany,23757.0
2021-03-27,Italy,23834.0
2021-03-31,Italy,23887.0
2021-03-26,Italy,24076.0
2021-03-31,Germany,25014.0
2021-03-25,Turkey,28731.0
2021-03-28,Turkey,29058.0
2021-03-26,Turkey,29081.0
2021-03-28,Poland,29266.0
2021-03-24,Turkey,29762.0
2021-03-27,Turkey,30021.0
2021-03-30,France,30719.0
2021-03-24,Poland,30802.0
2021-03-27,Poland,31759.0
2021-03-29,Turkey,32404.0
2021-03-31,Poland,32891.0
2021-03-25,Poland,34150.0
2021-03-26,Poland,35145.0
2021-03-28,France,37021.0
2021-03-30,Turkey,37303.0
2021-03-29,Brazil,38927.0
2021-03-31,Turkey,39302.0
2021-03-26,France,41871.0
2021-03-27,France,42634.0
2021-03-28,United States,43097.0
2021-03-28,Brazil,44326.0
2021-03-25,France,45660.0
2021-03-24,India,53476.0
2021-03-30,India,53480.0
2021-03-29,India,56211.0
2021-03-31,France,59054.0
2021-03-25,India,59118.0
2021-03-30,United States,61249.0
2021-03-26,India,62258.0
2021-03-27,United States,62700.0
2021-03-27,India,62714.0
2021-03-24,France,65392.0
2021-03-31,United States,67039.0
2021-03-25,United States,67465.0
2021-03-28,India,68020.0
2021-03-29,United States,69429.0
2021-03-31,India,72330.0
2021-03-26,United States,77321.0
2021-03-26,Brazil,84245.0
2021-03-30,Brazil,84494.0
2021-03-27,Brazil,85948.0
2021-03-24,United States,86960.0
2021-03-24,Brazil,89992.0
2021-03-31,Brazil,90638.0
2021-03-25,Brazil,100158.0
