date,before,new_cases,diff
2020-01-31,"",2.0,""
2020-02-01,2.0,0.0,-2.0
2020-02-02,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0
2020-03-02,0.0,1.0,1.0
2020-03-03,1.0,0.0,-1.0
2020-03-04,0.0,0.0,0.0
2020-03-05,0.0,1.0,1.0
2020-03-06,1.0,9.0,8.0
2020-03-07,9.0,0.0,-9.0
2020-03-08,0.0,4.0,4.0
2020-03-09,4.0,0.0,-4.0
2020-03-10,0.0,3.0,3.0
2020-03-11,3.0,0.0,-3.0
2020-03-12,0.0,8.0,8.0
2020-03-13,8.0,17.0,9.0
2020-03-14,17.0,14.0,-3.0
2020-03-15,14.0,4.0,-10.0
2020-03-16,4.0,27.0,23.0
2020-03-17,27.0,24.0,-3.0
2020-03-18,24.0,33.0,9.0
2020-03-19,33.0,52.0,19.0
2020-03-20,52.0,54.0,2.0
2020-03-21,54.0,53.0,-1.0
2020-03-22,53.0,61.0,8.0
2020-03-23,61.0,71.0,10.0
2020-03-24,71.0,57.0,-14.0
2020-03-25,57.0,163.0,106.0
2020-03-26,163.0,182.0,19.0
2020-03-27,182.0,196.0,14.0
2020-03-28,196.0,228.0,32.0
2020-03-29,228.0,270.0,42.0
2020-03-30,270.0,302.0,32.0
2020-03-31,302.0,501.0,199.0
2020-04-01,501.0,440.0,-61.0
2020-04-02,440.0,771.0,331.0
2020-04-03,771.0,601.0,-170.0
2020-04-04,601.0,582.0,-19.0
2020-04-05,582.0,658.0,76.0
2020-04-06,658.0,954.0,296.0
2020-04-07,954.0,1154.0,200.0
2020-04-08,1154.0,1175.0,21.0
2020-04-09,1175.0,1459.0,284.0
2020-04-10,1459.0,1786.0,327.0
2020-04-11,1786.0,1667.0,-119.0
2020-04-12,1667.0,2186.0,519.0
2020-04-13,2186.0,2558.0,372.0
2020-04-14,2558.0,2774.0,216.0
2020-04-15,2774.0,3388.0,614.0
2020-04-16,3388.0,3448.0,60.0
2020-04-17,3448.0,4070.0,622.0
2020-04-18,4070.0,4785.0,715.0
2020-04-19,4785.0,6060.0,1275.0
2020-04-20,6060.0,4268.0,-1792.0
2020-04-21,4268.0,5642.0,1374.0
2020-04-22,5642.0,5236.0,-406.0
2020-04-23,5236.0,4774.0,-462.0
2020-04-24,4774.0,5849.0,1075.0
2020-04-25,5849.0,5966.0,117.0
2020-04-26,5966.0,6361.0,395.0
2020-04-27,6361.0,6198.0,-163.0
2020-04-28,6198.0,6411.0,213.0
2020-04-29,6411.0,5841.0,-570.0
2020-04-30,5841.0,7099.0,1258.0
2020-05-01,7099.0,7933.0,834.0
2020-05-02,7933.0,9623.0,1690.0
2020-05-03,9623.0,10633.0,1010.0
2020-05-04,10633.0,10581.0,-52.0
2020-05-05,10581.0,10102.0,-479.0
2020-05-06,10102.0,10559.0,457.0
2020-05-07,10559.0,11231.0,672.0
2020-05-08,11231.0,10699.0,-532.0
2020-05-09,10699.0,10817.0,118.0
2020-05-10,10817.0,11012.0,195.0
2020-05-11,11012.0,11656.0,644.0
2020-05-12,11656.0,10899.0,-757.0
2020-05-13,10899.0,10028.0,-871.0
2020-05-14,10028.0,9974.0,-54.0
2020-05-15,9974.0,10598.0,624.0
2020-05-16,10598.0,9200.0,-1398.0
2020-05-17,9200.0,9709.0,509.0
2020-05-18,9709.0,8926.0,-783.0
2020-05-19,8926.0,9263.0,337.0
2020-05-20,9263.0,8764.0,-499.0
2020-05-21,8764.0,8849.0,85.0
2020-05-22,8849.0,8894.0,45.0
2020-05-23,8894.0,9434.0,540.0
2020-05-24,9434.0,8599.0,-835.0
2020-05-25,8599.0,8946.0,347.0
2020-05-26,8946.0,8915.0,-31.0
2020-05-27,8915.0,8338.0,-577.0
2020-05-28,8338.0,8371.0,33.0
2020-05-29,8371.0,8572.0,201.0
2020-05-30,8572.0,8952.0,380.0
2020-05-31,8952.0,9268.0,316.0
2020-06-01,9268.0,8485.0,-783.0
2020-06-02,8485.0,8858.0,373.0
2020-06-03,8858.0,8529.0,-329.0
2020-06-04,8529.0,8823.0,294.0
2020-06-05,8823.0,8718.0,-105.0
2020-06-06,8718.0,8846.0,128.0
2020-06-07,8846.0,8971.0,125.0
2020-06-08,8971.0,8970.0,-1.0
2020-06-09,8970.0,8587.0,-383.0
2020-06-10,8587.0,8393.0,-194.0
2020-06-11,8393.0,8777.0,384.0
2020-06-12,8777.0,8961.0,184.0
2020-06-13,8961.0,8697.0,-264.0
2020-06-14,8697.0,8809.0,112.0
2020-06-15,8809.0,8217.0,-592.0
2020-06-16,8217.0,8241.0,24.0
2020-06-17,8241.0,7824.0,-417.0
2020-06-18,7824.0,7772.0,-52.0
2020-06-19,7772.0,7971.0,199.0
2020-06-20,7971.0,7870.0,-101.0
2020-06-21,7870.0,7717.0,-153.0
2020-06-22,7717.0,7586.0,-131.0
2020-06-23,7586.0,7413.0,-173.0
2020-06-24,7413.0,7165.0,-248.0
2020-06-25,7165.0,7105.0,-60.0
2020-06-26,7105.0,6788.0,-317.0
2020-06-27,6788.0,6843.0,55.0
2020-06-28,6843.0,6784.0,-59.0
2020-06-29,6784.0,6683.0,-101.0
2020-06-30,6683.0,6683.0,0.0
2020-07-01,6683.0,6550.0,-133.0
2020-07-02,6550.0,6752.0,202.0
2020-07-03,6752.0,6710.0,-42.0
2020-07-04,6710.0,6623.0,-87.0
2020-07-05,6623.0,6719.0,96.0
2020-07-06,6719.0,6569.0,-150.0
2020-07-07,6569.0,6363.0,-206.0
2020-07-08,6363.0,6534.0,171.0
2020-07-09,6534.0,6491.0,-43.0
2020-07-10,6491.0,6623.0,132.0
2020-07-11,6623.0,6586.0,-37.0
2020-07-12,6586.0,6587.0,1.0
2020-07-13,6587.0,6511.0,-76.0
2020-07-14,6511.0,6240.0,-271.0
2020-07-15,6240.0,6410.0,170.0
2020-07-16,6410.0,6415.0,5.0
2020-07-17,6415.0,6389.0,-26.0
2020-07-18,6389.0,6214.0,-175.0
2020-07-19,6214.0,6096.0,-118.0
2020-07-20,6096.0,5901.0,-195.0
2020-07-21,5901.0,5828.0,-73.0
2020-07-22,5828.0,5850.0,22.0
2020-07-23,5850.0,5830.0,-20.0
2020-07-24,5830.0,5779.0,-51.0
2020-07-25,5779.0,5833.0,54.0
2020-07-26,5833.0,5741.0,-92.0
2020-07-27,5741.0,5607.0,-134.0
2020-07-28,5607.0,5380.0,-227.0
2020-07-29,5380.0,5449.0,69.0
2020-07-30,5449.0,5484.0,35.0
2020-07-31,5484.0,5468.0,-16.0
2020-08-01,5468.0,5429.0,-39.0
2020-08-02,5429.0,5387.0,-42.0
2020-08-03,5387.0,5364.0,-23.0
2020-08-04,5364.0,5121.0,-243.0
2020-08-05,5121.0,5186.0,65.0
2020-08-06,5186.0,5239.0,53.0
2020-08-07,5239.0,5191.0,-48.0
2020-08-08,5191.0,5185.0,-6.0
2020-08-09,5185.0,5155.0,-30.0
2020-08-10,5155.0,5081.0,-74.0
2020-08-11,5081.0,4892.0,-189.0
2020-08-12,4892.0,5054.0,162.0
2020-08-13,5054.0,5017.0,-37.0
2020-08-14,5017.0,5016.0,-1.0
2020-08-15,5016.0,5030.0,14.0
2020-08-16,5030.0,4911.0,-119.0
2020-08-17,4911.0,4839.0,-72.0
2020-08-18,4839.0,4718.0,-121.0
